id,name,phone,adhaar,vehicle,slot,event_type,event_time
5,aaa,vvv,12345679012,2123213,3,entry,2025-02-18 14:47:08
5,aaa,vvv,12345679012,2123213,1,exit,2025-02-18 14:49:11
5,aaa,vvv,12345679012,2123213,5,entry,2025-02-18 14:49:24
5,aaa,vvv,12345679012,2123213,1,exit,2025-02-18 15:10:34
5,aaa,vvv,12345679012,2123213,1,entry,2025-02-18 15:11:42
5,aaa,vvv,12345679012,2123213,1,exit,2025-02-18 15:14:46
5,aaa,vvv,12345679012,2123213,2,entry,2025-02-18 15:15:27
5,aaa,vvv,12345679012,2123213,3,exit,2025-02-18 15:22:24
5,aaa,vvv,12345679012,2123213,1,entry,2025-02-18 15:31:49
5,aaa,vvv,12345679012,2123213,1,exit,2025-02-18 15:32:17
5,aaa,vvv,12345679012,2123213,4,entry,2025-02-18 15:32:36
5,aaa,vvv,12345679012,2123213,1,exit,2025-02-18 15:32:53
5,aaa,vvv,12345679012,2123213,5,entry,2025-02-18 15:33:12
5,aaa,vvv,12345679012,2123213,6,exit,2025-02-18 15:33:19
5,aaa,vvv,12345679012,2123213,6,entry,2025-02-18 15:33:26
5,aaa,vvv,12345679012,2123213,1,exit,2025-02-18 15:33:38
5,aaa,vvv,12345679012,2123213,1,entry,2025-02-18 15:41:01
5,aaa,vvv,12345679012,2123213,1,exit,2025-02-18 15:47:10
5,aaa,vvv,12345679012,2123213,1,entry,2025-02-18 15:48:00
5,aaa,vvv,12345679012,2123213,1,exit,2025-02-18 15:48:07
5,aaa,vvv,12345679012,2123213,1,entry,2025-02-18 15:48:29
5,aaa,vvv,12345679012,2123213,1,exit,2025-02-18 15:50:00
5,aaa,vvv,12345679012,2123213,1,entry,2025-02-18 15:51:48
5,aaa,vvv,12345679012,2123213,1,exit,2025-02-18 15:52:51
5,aaa,vvv,12345679012,2123213,1,entry,2025-02-18 15:53:39
5,aaa,vvv,12345679012,2123213,1,exit,2025-02-18 15:55:31
5,aaa,vvv,12345679012,2123213,1,entry,2025-02-18 15:59:56
5,aaa,vvv,12345679012,2123213,2,exit,2025-02-18 16:00:12
5,aaa,vvv,12345679012,2123213,2,entry,2025-02-18 16:00:28
5,aaa,vvv,12345679012,2123213,3,exit,2025-02-18 16:00:42
5,aaa,vvv,12345679012,2123213,3,entry,2025-02-18 16:00:58
5,aaa,vvv,12345679012,2123213,4,exit,2025-02-18 16:01:22
5,aaa,vvv,12345679012,2123213,1,entry,2025-02-18 16:05:44
5,aaa,vvv,12345679012,2123213,4,exit,2025-02-18 16:06:02
5,aaa,vvv,12345679012,2123213,4,entry,2025-02-18 16:06:03
5,aaa,vvv,12345679012,2123213,5,exit,2025-02-18 16:08:15
2,Aditya Alat,8177882942,123,123,5,entry,2025-02-19 12:52:00
5,aaa,vvv,12345679012,2123213,1,entry,2025-02-19 12:58:10
7,abababa,1234567890,12334567,1232345,2,entry,2025-02-19 14:45:07
7,abababa,1234567890,12334567,1232345,2,exit,2025-02-19 14:46:03
7,abababa,1234567890,12334567,1232345,2,entry,2025-02-19 14:46:06
7,abababa,1234567890,12334567,1232345,2,exit,2025-02-19 14:46:26
9,peron2,1234567,12345678,123456,2,entry,2025-02-20 13:49:06
10,kanishk 2,1234567890,1234567890,23456789,5,entry,2025-02-20 13:50:03
9,peron2,1234567,12345678,123456,1,exit,2025-02-20 14:01:58
9,peron2,1234567,12345678,123456,1,entry,2025-02-20 14:05:39
9,peron2,1234567,12345678,123456,2,exit,2025-02-20 14:05:52
11,namit sir 2,1234567,123456,1234567,2,entry,2025-02-20 14:08:08
